CH1 Voltage 1,CH1 Current 1,CH1 Resistance 1,CH1 Power 1,CH1 Time 1,CH1 State 1,CH1 Source 1,CH2 Voltage 1,CH2 Current 1,CH2 Resistance 1,CH2 Power 1,CH2 Time 1,CH2 State 1,CH2 Source 1
-30.0,-1.2913e-09,23232401455.897156,3.8739e-08,0.146957,1280.0,-30.0,10.0,2.165e-09,4618937644.341802,2.165e-08,0.146957,1216.0,10.0
-30.0,-9.218000000000001e-10,32545020611.846386,2.7654e-08,0.221913,1280.0,-30.0,9.18369,3.001e-09,3060209930.023326,2.7560253689999998e-08,0.221913,1728.0,9.183673469387756
-30.0,-7.263000000000001e-10,41305245766.2123,2.1789e-08,0.29114599999999996,1280.0,-30.0,8.3673,1.3248e-09,6315896739.130435,1.108499904e-08,0.29114599999999996,1216.0,8.36734693877551
-30.0,-6.203e-10,48363694986.29695,1.8609e-08,0.346288,1280.0,-30.0,7.551000000000001,1.1336e-09,6661079745.942132,8.559813600000002e-09,0.346288,1216.0,7.551020408163265
-30.0,-5.023e-10,59725263786.581726,1.5069e-08,0.48645499999999997,1280.0,-30.0,6.7347,9.375000000000001e-10,7183679999.999999,6.313781250000001e-09,0.48645499999999997,1216.0,6.73469387755102
-30.0,-4.2920000000000003e-10,69897483690.58713,1.2876e-08,0.540157,1280.0,-30.0,5.9184,7.806e-10,7581860107.609531,4.61990304e-09,0.540157,1216.0,5.918367346938775
-30.0,-3.9650000000000003e-10,75662042875.15762,1.1895000000000002e-08,0.626578,1280.0,-30.0,5.102,7.109e-10,7176818117.878746,3.6270118e-09,0.626578,1216.0,5.1020408163265305
-30.0,-3.386e-10,88600118133.49084,1.0158e-08,0.74959,1280.0,-30.0,4.2857,6.176e-10,6939281088.082902,2.64684832e-09,0.74959,1216.0,4.285714285714286
-30.0,-3.115e-10,96308186195.82664,9.345e-09,0.840066,1280.0,-30.0,3.46939,5.446000000000001e-10,6370528828.49798,1.8894297940000004e-09,0.840066,1216.0,3.4693877551020407
-30.0,-2.629e-10,114111829593.00114,7.887e-09,0.924635,1280.0,-30.0,2.6531000000000002,4.697e-10,5648499041.941665,1.2461610700000002e-09,0.924635,1216.0,2.6530612244897958
-30.0,-2.446e-10,122649223221.58626,7.338e-09,1.000071,1280.0,-30.0,1.83673,4.2280000000000003e-10,4344205298.013245,7.76569444e-10,1.000071,1152.0,1.8367346938775508
-30.0,-2.196e-10,136612021857.9235,6.588e-09,1.080344,1280.0,-30.0,1.020411,3.848e-10,2651795738.0457377,3.926541528e-10,1.080344,1152.0,1.020408163265305
-30.0,-1.926e-10,155763239875.3894,5.7780000000000005e-09,1.1596279999999999,1280.0,-30.0,0.204083,3.359e-10,607570705.5671331,6.85514797e-11,1.1596279999999999,1088.0,0.204081632653061
-30.0,-1.898e-10,158061116965.22656,5.694e-09,1.280348,1280.0,-30.0,-0.612239,1.261e-10,-4855186360.03172,-7.720333790000001e-11,1.280348,1152.0,-0.612244897959183
-30.0,-2.7689000000000002e-09,10834627469.392176,8.306700000000001e-08,1.363672,1280.0,-30.0,-1.428572,-8.553e-10,1670258388.8694024,1.2218576316e-09,1.363672,1152.0,-1.4285714285714288
-30.0,-1.03242e-08,2905794153.5421634,3.09726e-07,1.441212,1280.0,-30.0,-2.2449100000000004,-2.3394e-09,959609301.530307,5.251742454000001e-09,1.441212,1216.0,-2.2448979591836746
-30.0,-2.38697e-08,1256823504.2752945,7.160910000000001e-07,1.525127,1280.0,-30.0,-3.0612000000000004,-3.0343e-09,1008865306.6605148,9.288599160000002e-09,1.525127,1216.0,-3.0612244897959187
-30.0,-4.36015e-08,688049723.0599865,1.308045e-06,1.606584,1280.0,-30.0,-3.8776,-4.2115e-09,920717084.1742847,1.6330512400000003e-08,1.606584,1216.0,-3.8775510204081627
-30.0,-7.00063e-08,428532860.6139733,2.100189e-06,1.661332,1280.0,-30.0,-4.693910000000001,-7.1483e-09,656647034.9593611,3.3553476853000005e-08,1.661332,1216.0,-4.6938775510204085
-30.0,-1.023856e-07,293009954.524855,3.0715680000000003e-06,1.743258,1280.0,-30.0,-5.5102,-8.0157e-09,687425926.6190102,4.4168110140000005e-08,1.743258,1216.0,-5.510204081632654
-30.0,-1.41485e-07,212036611.65494576,4.24455e-06,1.810157,1792.0,-30.0,-6.3265,-1.1141900000000001e-08,567811594.0728241,7.048923035000001e-08,1.810157,1216.0,-6.326530612244898
-30.0,-1.8745999999999999e-07,160034140.6166649,5.623799999999999e-06,1.8667889999999998,1792.0,-30.0,-7.1429100000000005,-1.5199600000000002e-08,469940656.3330614,1.0856937483600002e-07,1.8667889999999998,1216.0,-7.142857142857142
-30.0,-2.40446e-07,124768139.20797184,7.2133800000000006e-06,1.9229189999999998,1792.0,-30.0,-7.959210000000001,-1.90987e-08,416740930.0109432,1.5201056402700003e-07,1.9229189999999998,1216.0,-7.95918367346939
-30.0,-2.98975e-07,100342838.02993561,8.96925e-06,1.9801499999999999,1792.0,-30.0,-8.77551,-2.32618e-08,377249825.8948147,2.0413415851800002e-07,1.9801499999999999,1216.0,-8.775510204081634
-30.0,-3.63406e-07,82552296.88007353,1.0902179999999999e-05,2.03687,1792.0,-30.0,-9.591800000000001,-2.76806e-08,346517055.26614314,2.6550677908e-07,2.03687,1216.0,-9.591836734693878
-30.0,-4.34893e-07,68982485.34697041,1.304679e-05,2.09031,1792.0,-30.0,-10.4082,-3.2724400000000004e-08,318056251.6043075,3.4060210008000005e-07,2.09031,1216.0,-10.408163265306122
