CH1 Time	--
0.09079	3.962E-10
0.15902	5.574E-10
0.22468	4.549E-10
0.28817	4.385E-10
0.31144	5.157E-10
0.37796	5.765E-10
0.40379	5.161E-10
0.47	5.086E-10
0.49332	5.158E-10
0.55973	5.933E-10
0.58444	5.161E-10
0.61038	5.184E-10
0.66288	5.171E-10
0.72738	4.731E-10
0.7533	5.168E-10
0.8197	5.259E-10
0.88802	4.575E-10
0.91546	5.183E-10
0.97848	5.511E-10
1.00432	5.179E-10
1.07035	5.156E-10
1.09364	5.194E-10
1.19398	5.616E-10
1.26024	5.892E-10
1.28372	5.202E-10
1.34883	4.32E-10
1.37583	5.193E-10
1.40036	5.192E-10
1.46361	5.236E-10
1.52702	4.94E-10
1.55032	5.199E-10
1.61734	5.759E-10
1.66453	5.197E-10
1.72708	5.009E-10
1.75277	5.211E-10
1.81665	5.699E-10
1.83995	5.19E-10
1.86354	5.202E-10
1.89045	5.219E-10
1.91375	5.206E-10
1.93919	5.199E-10
1.96473	5.214E-10
2.02751	5.05E-10
2.05079	5.219E-10
2.15356	5.201E-10
2.17935	5.218E-10
2.20266	5.21E-10
2.26871	4.638E-10
2.29201	5.216E-10
2.35829	6.008E-10
2.38347	5.21E-10
2.40995	5.227E-10
2.47355	5.577E-10
2.53872	5.245E-10
2.5632	5.222E-10
2.62909	5.161E-10
2.707	4.605E-10
2.7319	5.232E-10
2.79862	5.587E-10
2.82193	5.229E-10
2.88567	4.421E-10
2.90896	5.226E-10
2.98065	5.345E-10
3.05076	5.173E-10
3.1134	5.644E-10
3.2162	5.735E-10
3.24255	5.232E-10
3.30674	5.077E-10
3.33006	5.232E-10
3.39424	5.965E-10
3.42146	5.232E-10
3.48453	4.553E-10
3.50958	5.245E-10
3.57107	5.216E-10
3.67492	5.238E-10
3.70349	5.242E-10
3.73056	5.25E-10
3.7986	5.935E-10
3.8661	5.026E-10
3.93372	6.154E-10
3.95753	5.505E-10
3.98281	5.239E-10
4.00612	5.256E-10
4.03203	5.273E-10
4.09587	5.601E-10
4.12165	5.202E-10
4.18104	5.247E-10
4.25237	5.286E-10
4.31556	5.408E-10
4.33886	5.246E-10
4.36213	5.253E-10
4.42772	4.506E-10
4.45221	5.273E-10
4.51811	5.78E-10
4.54437	5.285E-10
4.56767	5.418E-10
4.63225	6.078E-10
4.68357	6.729E-10
4.70951	9.502E-10
4.7328	1.2846E-9
4.80001	2.4655E-9
4.83182	2.8628E-9
4.85724	3.1893E-9
4.88244	3.4871E-9
4.90716	3.7608E-9
4.93091	3.9178E-9
4.99786	3.8161E-9
5.06684	3.5199E-9
5.09042	3.5834E-9
5.18337	3.5097E-9
5.20823	3.5134E-9
5.27259	3.7131E-9
5.33548	4.1174E-9
5.36071	4.3762E-9
5.42485	5.1031E-9
5.48694	5.8095E-9
5.5524	6.394E-9
5.61565	6.1913E-9
5.63913	6.1128E-9
5.68854	6.0454E-9
5.75324	6.0601E-9
5.77915	5.9466E-9
5.84198	5.8306E-9
5.90682	5.7387E-9
5.97167	5.8759E-9
5.99759	5.7744E-9
6.06301	5.6276E-9
6.08813	5.7167E-9
6.18995	5.6651E-9
6.25229	5.6786E-9
6.3146	5.6716E-9
6.33792	5.5827E-9
6.40375	5.5381E-9
6.42983	5.538E-9
6.49642	5.5996E-9
6.56186	5.4107E-9
6.58712	5.4734E-9
6.69027	5.4303E-9
6.75906	5.4205E-9
6.8292	5.3827E-9
6.89169	5.3902E-9
6.91773	5.3476E-9
6.98248	5.3182E-9
7.00579	5.3216E-9
7.02904	5.3144E-9
7.09862	5.2806E-9
7.19704	5.2575E-9
7.26233	5.1776E-9
7.28567	5.2327E-9
7.31014	5.2274E-9
7.37316	5.2628E-9
7.3965	5.2037E-9
7.4293	5.1951E-9
7.49186	5.2373E-9
7.55427	5.1939E-9
7.57937	5.1544E-9
7.64111	5.0974E-9
7.74144	5.0646E-9
7.76839	5.1061E-9
7.8323	5.1694E-9
7.89619	5.1702E-9
7.95934	5.0596E-9
8.02323	5.0284E-9
8.04993	5.0403E-9
8.11629	5.0507E-9
8.20181	5.0065E-9
8.22515	5.0031E-9
8.25044	4.9973E-9
8.2762	4.9932E-9
8.29958	4.9887E-9
8.36389	4.9311E-9
8.39356	4.9688E-9
8.41688	4.9637E-9
8.48187	4.8702E-9
8.50681	4.9477E-9
8.57005	5.0001E-9
8.63346	4.9367E-9
8.72552	4.7693E-9
8.74885	4.8978E-9
8.81453	4.9511E-9
8.83785	4.8876E-9
8.90727	4.8755E-9
8.97289	4.9415E-9
8.9989	4.8583E-9
9.06315	4.8012E-9
9.08646	4.8432E-9
9.15126	4.845E-9
9.20869	4.8248E-9
9.23493	4.8192E-9
9.3015	4.7003E-9
9.32687	4.804E-9
9.35461	4.8011E-9
9.37819	4.7967E-9
9.44504	4.7764E-9
9.50966	4.8309E-9
9.53495	4.7717E-9
9.60036	4.7659E-9
9.62666	4.7605E-9
9.70641	4.7503E-9
9.77148	4.751E-9
9.79478	4.7339E-9
9.86379	4.6942E-9
9.92917	4.7585E-9
9.99295	4.7206E-9
10.01626	4.7061E-9
10.08269	4.6411E-9
10.14932	4.7536E-9
10.25323	4.718E-9
10.27649	4.6713E-9
10.34465	4.5499E-9
10.41134	4.7069E-9
10.43461	4.6507E-9
10.50304	4.6156E-9
10.56988	4.6448E-9
10.59653	4.6318E-9
10.65893	4.5787E-9
10.71573	4.6175E-9
10.7779	4.609E-9
10.84069	4.5238E-9
10.86397	4.5996E-9
10.92798	4.6611E-9
10.98978	4.606E-9
11.05335	4.6174E-9
11.07664	4.5776E-9
11.14371	4.4726E-9
11.16702	4.564E-9
11.26049	4.4683E-9
11.28375	4.5542E-9
11.31636	4.55E-9
11.38077	4.4736E-9
11.40409	4.5401E-9
11.47153	4.6074E-9
11.54136	4.438E-9
11.56619	4.5238E-9
11.63434	4.5223E-9
11.72146	4.5101E-9
11.74753	4.5072E-9
11.81	4.5229E-9
11.83504	4.4978E-9
11.89756	4.4415E-9
11.96092	4.4763E-9
11.98421	4.4833E-9
12.05149	4.4909E-9
12.07479	4.4745E-9
12.14071	4.4288E-9
12.25367	4.455E-9
12.3156	4.5032E-9
12.38161	4.4323E-9
12.40733	4.4444E-9
12.47158	4.4497E-9
12.53813	4.352E-9
12.59991	4.3491E-9
12.62325	4.4243E-9
12.72731	4.4206E-9
12.78889	4.4527E-9
12.85204	4.4161E-9
12.91932	4.3502E-9
12.98241	4.3791E-9
13.00573	4.3914E-9
13.07099	4.3995E-9
13.0943	4.3843E-9
13.16322	4.3536E-9
13.229	4.373E-9
13.2523	4.3698E-9
13.31823	4.3049E-9
13.38324	4.316E-9
13.40654	4.355E-9
13.43422	4.3556E-9
13.50339	4.335E-9
13.52669	4.3477E-9
13.59004	4.3773E-9
13.61335	4.343E-9
13.67867	4.3243E-9
13.77296	4.3484E-9
13.79632	4.3299E-9
13.86252	4.2001E-9
13.92869	4.3312E-9
13.99114	4.3362E-9
14.01448	4.3138E-9
14.08181	4.21E-9
14.14696	4.3719E-9
14.23532	4.2929E-9
14.29952	4.2689E-9
14.32544	4.2886E-9
14.38869	4.3039E-9
14.41199	4.2838E-9
14.47681	4.2794E-9
14.54388	4.278E-9
14.61092	4.3621E-9
14.63428	4.2709E-9
14.73683	4.2568E-9
14.76466	4.2594E-9
14.82932	4.2987E-9
14.90024	4.1869E-9
14.92534	4.2485E-9
14.98955	4.2987E-9
15.01598	4.2442E-9
15.07928	4.2165E-9
15.10359	4.2365E-9
15.1682	4.293E-9
15.19683	4.23E-9
15.27912	4.1435E-9
15.30592	4.223E-9
15.37127	4.2615E-9
15.43769	4.1197E-9
15.46543	4.2128E-9
15.53184	4.2361E-9
15.55516	4.2094E-9
15.62154	4.1116E-9
15.68657	4.258E-9
15.74159	4.1972E-9
15.80866	4.25E-9
15.83567	4.1915E-9
15.89796	4.1053E-9
15.92183	4.1839E-9
15.94507	4.1822E-9
15.97498	4.1811E-9
16.03813	4.1495E-9
16.06273	4.176E-9
16.12805	4.2526E-9
16.19663	4.0933E-9
16.28704	4.2317E-9
16.31031	4.162E-9
16.37563	4.1273E-9
16.40339	4.156E-9
16.46596	4.2372E-9
16.49012	4.15E-9
16.5134	4.1486E-9
16.57878	4.0946E-9
16.6476	4.1454E-9
16.67464	4.1395E-9
16.75449	4.1453E-9
16.78101	4.136E-9
16.80428	4.1329E-9
16.83395	4.1293E-9
16.89676	4.1187E-9
16.92034	4.1268E-9
16.98746	4.1831E-9
17.01377	4.121E-9
17.04155	4.1203E-9
17.10488	4.1727E-9
17.16791	4.1402E-9
17.19247	4.1099E-9
17.25042	4.1085E-9
17.31538	4.0171E-9
17.34065	4.1037E-9
17.36394	4.1031E-9
17.42792	4.1155E-9
17.45259	4.0975E-9
17.48063	4.098E-9
17.50395	4.0956E-9
17.52976	4.0921E-9
17.59471	4.0147E-9
17.62037	4.0884E-9
17.68543	4.1085E-9
17.7891	4.1798E-9
17.8124	4.0794E-9
17.87999	3.937E-9
17.94573	4.1552E-9
18.01048	4.0719E-9
18.07877	3.958E-9
18.14863	4.0846E-9
18.25026	4.0546E-9
18.31582	3.9689E-9
18.34172	4.0536E-9
18.40653	4.1118E-9
18.43207	4.0477E-9
18.50115	4.026E-9
