model,experiment,experiment_name,dataset,checkpoint_path,layer,kind,samples,relative_scale,absolute_threshold,mean_relative_zero_frac,mean_relative_nonzero_frac,last_relative_zero_frac,mean_absolute_zero_frac,mean_absolute_nonzero_frac,last_absolute_zero_frac,model_mean_relative_zero_frac,model_mean_absolute_zero_frac,analysis_type,sweep_type,sigma_c2c,sigma_d2d,adc_label,device_type,profile,phase,group_id,group_label,selected_group_ids
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,patch_embed.conv1.conv,AnalogConv2d,1570,0.01,0.01,0.01707910358383777,0.9829208964161622,0.017172053456306458,0.005696084205013741,0.9943039157949862,0.005739795975387096,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,patch_embed.conv2.conv,AnalogConv2d,1570,0.01,0.01,0.09560136710572395,0.904398632894276,0.07132191210985184,0.02101407295247172,0.9789859270475283,0.02173723466694355,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.0.attn.qkv,AnalogLinear,1570,0.01,0.01,0.11398755382675274,0.8860124461732473,0.10387249290943146,0.08157477504128863,0.9184252249587114,0.08123467862606049,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.0.attn.proj,AnalogLinear,1570,0.01,0.01,0.05401100328156523,0.9459889967184347,0.04693852365016937,0.04833168851057435,0.9516683114894257,0.04791508615016937,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.0.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.11688758975760952,0.8831124102423905,0.10503091663122177,0.05891060769842688,0.9410893923015731,0.05865478515625,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.0.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.07668423480621189,0.9233157651937881,0.06393354386091232,0.027287670504894987,0.972712329495105,0.027020512148737907,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.1.attn.qkv,AnalogLinear,1570,0.01,0.01,0.05443080918993919,0.9455691908100609,0.05477531626820564,0.03977580935379882,0.9602241906462012,0.039787448942661285,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.1.attn.proj,AnalogLinear,1570,0.01,0.01,0.040811562675769165,0.9591884373242309,0.03666406497359276,0.03433167596887441,0.9656683240311256,0.036137793213129044,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.1.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.08046999324089403,0.919530006759106,0.08017590641975403,0.04143209058767671,0.9585679094123233,0.04133014380931854,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.1.blocks.1.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.007375259344187227,0.9926247406558127,0.0077106705866754055,0.004819884350831816,0.9951801156491682,0.005309124477207661,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.0.attn.qkv,AnalogLinear,1570,0.01,0.01,0.08520292179409865,0.9147970782059014,0.08092713356018066,0.07204281320902192,0.927957186790978,0.07256457209587097,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.0.attn.proj,AnalogLinear,1570,0.01,0.01,0.04938544166410805,0.9506145583358919,0.037121329456567764,0.034928897450304336,0.9650711025496956,0.03245176747441292,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.0.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.07463337674404785,0.9253666232559521,0.05666254460811615,0.04467383693832501,0.955326163061675,0.04360251873731613,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.0.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.04348653870735578,0.9565134612926443,0.034763630479574203,0.020957065550432464,0.9790429344495676,0.020688675343990326,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.1.attn.qkv,AnalogLinear,1570,0.01,0.01,0.059950554280713865,0.9400494457192862,0.06026386842131615,0.04039367016665875,0.9596063298333413,0.03859813138842583,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.1.attn.proj,AnalogLinear,1570,0.01,0.01,0.04781452900000439,0.9521854709999956,0.044736526906490326,0.028316617894704174,0.9716833821052958,0.028527582064270973,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.1.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.07984167129086081,0.9201583287091392,0.07621372491121292,0.044714916877116366,0.9552850831228836,0.04387754946947098,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.1.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.046603923587567486,0.9533960764124325,0.042321525514125824,0.020310976510499693,0.9796890234895003,0.019620932638645172,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.2.attn.qkv,AnalogLinear,1570,0.01,0.01,0.06159693155034333,0.9384030684496567,0.06081194058060646,0.03352858077758437,0.9664714192224156,0.03375717252492905,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.2.attn.proj,AnalogLinear,1570,0.01,0.01,0.05709379834069568,0.9429062016593043,0.0511300191283226,0.03184644210680275,0.9681535578931972,0.0335957407951355,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.2.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.07188374379732806,0.9281162562026719,0.07312459498643875,0.04868785104933818,0.9513121489506619,0.04852120205760002,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.2.mlp.fc2,AnalogLinear,1570,0.01,0.01,0.04615117389305382,0.9538488261069462,0.04645099118351936,0.023387045472575602,0.9766129545274244,0.02315499261021614,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.3.attn.qkv,AnalogLinear,1570,0.01,0.01,0.06165029375463914,0.9383497062453608,0.05891461670398712,0.041550570719276265,0.9584494292807237,0.041583623737096786,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.3.attn.proj,AnalogLinear,1570,0.01,0.01,0.050930877131926025,0.949069122868074,0.050821106880903244,0.035525855978440705,0.9644741440215593,0.03881138190627098,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
tinyvit,V4,V4_hybrid_standard_noise_hat,cifar10,checkpoints/V4_hybrid_standard_noise_hat_best.pt,stages.2.blocks.3.mlp.fc1,AnalogLinear,1570,0.01,0.01,0.08381950103553237,0.9161804989644676,0.0697464868426323,0.04994413301016495,0.950055866989835,0.0498485304415226,0.06893899967737502,0.0384540503787082,noise_sweep,adc,0.05,0.1,ideal,,,,,,
