file,mode,model,analog_layers,train_seed,eval_d2d_seed,sigma_d2d,ppl,wall_clock_time,gpu_id
eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,1001,0.02,19.555441872112056,73.5779197216034,1
eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,123,0.02,19.39295168511152,73.42082333564758,3
eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,42,0.02,19.545167203119828,66.24508047103882,7
eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,456,0.02,19.55972652702512,74.50593137741089,5
eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,789,0.02,19.50155808477743,71.61464309692383,0
eval_k107_a1_last1_seed123_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,1001,0.04,19.6752329477605,69.92064237594604,3
eval_k107_a1_last1_seed123_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,123,0.04,19.577415242227957,73.41783308982849,6
eval_k107_a1_last1_seed123_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,42,0.04,19.669538653579927,72.827712059021,4
eval_k107_a1_last1_seed123_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,456,0.04,19.691632486947764,75.3013927936554,7
eval_k107_a1_last1_seed123_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,789,0.04,19.620511844943366,75.68088793754578,2
eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,1001,0.05,19.71348045514233,72.01734042167664,6
eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,123,0.05,19.654037680304594,86.80278015136719,4
eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,42,0.05,19.714045857474048,70.40957236289978,0
eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,456,0.05,19.737269630729124,68.3008725643158,5
eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed123,23,,789,0.05,19.66691643667098,84.15107369422913,1
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,1001,0.02,19.46031779201944,65.59208393096924,4
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,123,0.02,19.36350504524047,65.95516467094421,1
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,42,0.02,19.444325406421807,66.49956631660461,0
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,456,0.02,19.466294145299486,65.7438530921936,2
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,789,0.02,19.399378655133194,65.33275580406189,3
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,1001,0.04,19.578162234210204,65.23030042648315,5
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,123,0.04,19.519009204389747,66.16587734222412,6
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,42,0.04,19.559055855302535,65.19196033477783,5
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,456,0.04,19.594939866881067,65.74508714675903,7
eval_k107_a1_last1_seed42_c2c0.0_d2d0.04_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,789,0.04,19.51479369150025,65.36520671844482,3
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,1001,0.05,19.614647070491575,66.80809664726257,6
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,123,0.05,19.566807398445874,66.4608986377716,1
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,42,0.05,19.604084172669804,65.80006623268127,0
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,456,0.05,19.638090632780514,67.92738556861877,2
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,,789,0.05,19.55744527902886,66.0177321434021,4
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,1001,0.02,19.448273036931038,72.1485550403595,0
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,123,0.02,19.384858384703264,72.4341995716095,2
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,42,0.02,19.426546722803696,70.7494261264801,7
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,456,0.02,19.439966667107505,70.64271759986877,3
eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_seed789.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,789,0.02,19.37878970455189,68.72951221466064,5
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed1001.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,1001,0.04,19.557609653314973,71.59259152412415,4
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,123,0.04,19.51270579201682,71.13913774490356,7
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,42,0.04,19.538412490001733,72.02382755279541,6
eval_k107_a1_last1_seed456_c2c0.0_d2d0.04_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed456,23,,456,0.04,19.557838908063125,73.32581305503845,2
