file,mode,model,analog_layers,n_states,train_seed,eval_d2d_seed,sigma_d2d,ppl,wall_clock_time
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,123,0.02,19.36350504524047,69.49160718917847
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,42,0.02,19.444325406421807,70.25340127944946
eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,456,0.02,19.466294145299486,71.81777548789978
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,123,0.05,19.566807398445874,68.4019775390625
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,42,0.05,19.604084172669804,69.64724898338318
eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_a1_last1_seed42,23,256,,456,0.05,19.638090632780514,68.40181946754456
eval_k107_c_128states_seed42_c2c0.0_d2d0.02_rst0.0_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_c_128states_seed42,23,128,,123,0.02,19.40407438889559,66.27926707267761
eval_k107_c_128states_seed42_c2c0.0_d2d0.02_rst0.0_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_c_128states_seed42,23,128,,42,0.02,19.46142553342189,66.51706624031067
eval_k107_c_128states_seed42_c2c0.0_d2d0.02_rst0.0_seed456.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_c_128states_seed42,23,128,,456,0.02,19.4866554347466,67.70435619354248
eval_k107_c_128states_seed42_c2c0.0_d2d0.05_rst0.0_seed123.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_c_128states_seed42,23,128,,123,0.05,19.599471918547213,68.22536849975586
eval_k107_c_128states_seed42_c2c0.0_d2d0.05_rst0.0_seed42.json,eval,/home/lisq753/projects/HAT_kv107/paper2/results/remote107/checkpoints/k107_c_128states_seed42,23,128,,42,0.05,19.62061676086361,67.67072606086731
