experiment,group,model,ppl_mean,ppl_std,n,params
baseline,digital,pythia-410m,22.184916424250176,0.0,1,"{""ctx_len"": 512, ""stride"": 256, ""bs"": 1}"
ablation,k107_a1_last1_seed123,pythia-410m,19.553445200752336,0.0,3,"{""train_seed"": 123, ""mode"": ""B3""}"
ablation,k107_a1_last1_seed42,pythia-410m,19.456979114580246,0.0,3,"{""train_seed"": 42, ""mode"": ""B3""}"
ablation,k107_a1_last1_seed456,pythia-410m,19.438262142280745,0.0,3,"{""train_seed"": 456, ""mode"": ""B3""}"
epsc_stress,EPSC-e1,pythia-410m,19.717561941384645,0.0605794425365414,9,"{""sigma_c2c"": 0.05, ""sigma_d2d"": 0.05}"
epsc_stress,EPSC-e2,pythia-410m,20.116113096797452,0.06989797364034891,9,"{""sigma_c2c"": 0.1, ""sigma_d2d"": 0.1}"
epsc_stress,EPSC-e3,pythia-410m,20.762404854879403,0.07275174991943091,9,"{""sigma_c2c"": 0.15, ""sigma_d2d"": 0.15}"
epsc_stress,EPSC-e4,pythia-410m,20.603983242247402,0.09397740806677538,9,"{""sigma_c2c"": 0.0, ""sigma_d2d"": 0.2}"
epsc_stress,EPSC-e5,pythia-410m,19.861403530479215,0.0677896947570847,9,"{""sigma_c2c"": 0.01, ""sigma_d2d"": 0.1}"
k107_a_scope,last1,pythia-410m,19.451140062157176,0.06465515296124341,15,"{""sigma_d2d"": 0.02}"
k107_a_scope,last1,pythia-410m,19.576689547455036,0.06337784686656293,15,"{""sigma_d2d"": 0.04}"
k107_a_scope,last1,pythia-410m,19.62119121002848,0.06443919552341844,15,"{""sigma_d2d"": 0.05}"
k107_a_scope,last2,pythia-410m,20.14163763766608,0.052276663214419324,15,"{""sigma_d2d"": 0.02}"
k107_a_scope,last2,pythia-410m,20.468005116732297,0.051055303976833416,15,"{""sigma_d2d"": 0.04}"
k107_a_scope,last2,pythia-410m,20.585995735547826,0.05442564881844493,15,"{""sigma_d2d"": 0.05}"
k107_a_scope,all,pythia-410m,37.131753495482386,0.8783620532241377,5,"{""sigma_d2d"": 0.02}"
k107_a_scope,all,pythia-410m,68.47802088014475,4.331576411070905,5,"{""sigma_d2d"": 0.04}"
k107_a_scope,all,pythia-410m,104.28932561842434,8.927938585983584,5,"{""sigma_d2d"": 0.05}"
k107_b_retention,all,pythia-410m,35.80664033370925,0.0,1,"{""sigma_d2d"": 0.02, ""retention_step_time"": 0.0}"
