checkpoint,train_seed,mode,analog_patch,n_states,sigma_c2c,sigma_d2d,eval_d2d_seed,ppl,ctx_len,stride,batch_size,git_commit,json_path
k107_a1_last1_seed123,123,B3,True,256,0.0,0.02,1001,19.555441872112056,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_rst0.0_seed1001.json
k107_a1_last1_seed123,123,B3,True,256,0.0,0.02,42,19.545167203119828,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_rst0.0_seed42.json
k107_a1_last1_seed123,123,B3,True,256,0.0,0.02,456,19.55972652702512,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.02_rst0.0_seed456.json
k107_a1_last1_seed123,123,B4,True,256,0.0,0.05,1001,19.71348045514233,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed123,123,B4,True,256,0.0,0.05,42,19.714045857474048,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed123,123,B4,True,256,0.0,0.05,456,19.737269630729124,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed123,123,B2,True,256,0.0,0.0,123,19.100954267288145,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_c2c0.0_d2d0.0_rst0.0_seed123.json
k107_a1_last1_seed123,123,B1,False,,0.0,0.0,,19.085393942192646,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed123_digital_noanalog.json
k107_a1_last1_seed42,42,B3,True,256,0.0,0.02,1001,19.46031779201944,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed1001.json
k107_a1_last1_seed42,42,B3,True,256,0.0,0.02,42,19.444325406421807,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed42.json
k107_a1_last1_seed42,42,B3,True,256,0.0,0.02,456,19.466294145299486,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.02_rst0.0_seed456.json
k107_a1_last1_seed42,42,B4,True,256,0.0,0.05,1001,19.614647070491575,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed42,42,B4,True,256,0.0,0.05,42,19.604084172669804,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed42,42,B4,True,256,0.0,0.05,456,19.638090632780514,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed42,42,B2,True,256,0.0,0.0,42,19.01032536978025,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_c2c0.0_d2d0.0_rst0.0_seed42.json
k107_a1_last1_seed42,42,B1,False,,0.0,0.0,,18.992915538260966,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed42_digital_noanalog.json
k107_a1_last1_seed456,456,B3,True,256,0.0,0.02,1001,19.448273036931038,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_rst0.0_seed1001.json
k107_a1_last1_seed456,456,B3,True,256,0.0,0.02,42,19.426546722803696,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_rst0.0_seed42.json
k107_a1_last1_seed456,456,B3,True,256,0.0,0.02,456,19.439966667107505,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.02_rst0.0_seed456.json
k107_a1_last1_seed456,456,B4,True,256,0.0,0.05,1001,19.59336970720261,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_rst0.0_seed1001.json
k107_a1_last1_seed456,456,B4,True,256,0.0,0.05,42,19.583680002336163,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_rst0.0_seed42.json
k107_a1_last1_seed456,456,B4,True,256,0.0,0.05,456,19.594615675859796,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.05_rst0.0_seed456.json
k107_a1_last1_seed456,456,B2,True,256,0.0,0.0,456,19.0678541316981,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_c2c0.0_d2d0.0_rst0.0_seed456.json
k107_a1_last1_seed456,456,B1,False,,0.0,0.0,,19.05078238227783,512,512,1,cc0a3ab01216a75d97dd93c872d5dc91a053de41,eval_k107_a1_last1_seed456_digital_noanalog.json
