[2026-04-05 23:35:05] Watcher armed for PID 497308
[2026-04-05 23:35:05] Stage-1 log: /home/qiaosir/projects/compute_vit/logs/_gpt/train_convnext_cifar100_c134_fix_20260405_214641_gpt.log
[2026-04-05 23:35:05] Stage-1 still running; sleeping.
[2026-04-05 23:36:06] Stage-1 still running; sleeping.
[2026-04-05 23:37:07] Stage-1 still running; sleeping.
[2026-04-05 23:38:09] Stage-1 still running; sleeping.
[2026-04-05 23:39:09] Stage-1 still running; sleeping.
[2026-04-05 23:40:11] Stage-1 still running; sleeping.
[2026-04-05 23:41:12] Stage-1 still running; sleeping.
[2026-04-05 23:42:13] Stage-1 still running; sleeping.
[2026-04-05 23:43:14] Stage-1 still running; sleeping.
[2026-04-05 23:44:14] Stage-1 still running; sleeping.
[2026-04-05 23:45:15] Stage-1 still running; sleeping.
[2026-04-05 23:46:15] Stage-1 still running; sleeping.
[2026-04-05 23:47:16] Stage-1 still running; sleeping.
[2026-04-05 23:48:17] Stage-1 still running; sleeping.
[2026-04-05 23:49:17] Stage-1 still running; sleeping.
[2026-04-05 23:50:17] Stage-1 still running; sleeping.
[2026-04-05 23:51:17] Stage-1 still running; sleeping.
[2026-04-05 23:52:17] Stage-1 still running; sleeping.
[2026-04-05 23:53:17] Stage-1 still running; sleeping.
[2026-04-05 23:54:17] Stage-1 still running; sleeping.
[2026-04-05 23:55:17] Stage-1 still running; sleeping.
[2026-04-05 23:56:18] Stage-1 still running; sleeping.
[2026-04-05 23:57:19] Stage-1 still running; sleeping.
[2026-04-05 23:58:21] Stage-1 still running; sleeping.
[2026-04-05 23:59:22] Stage-1 still running; sleeping.
[2026-04-06 00:00:23] Stage-1 still running; sleeping.
[2026-04-06 00:01:24] Stage-1 still running; sleeping.
[2026-04-06 00:02:26] Stage-1 still running; sleeping.
[2026-04-06 00:03:27] Stage-1 still running; sleeping.
[2026-04-06 00:04:29] Stage-1 still running; sleeping.
[2026-04-06 00:05:30] Stage-1 still running; sleeping.
[2026-04-06 00:06:31] Stage-1 still running; sleeping.
[2026-04-06 00:07:33] Stage-1 still running; sleeping.
[2026-04-06 00:08:34] Stage-1 still running; sleeping.
[2026-04-06 00:09:36] Stage-1 still running; sleeping.
[2026-04-06 00:10:38] Stage-1 still running; sleeping.
[2026-04-06 00:11:39] Stage-1 still running; sleeping.
[2026-04-06 00:12:41] Stage-1 still running; sleeping.
[2026-04-06 00:13:42] Stage-1 still running; sleeping.
[2026-04-06 00:14:44] Stage-1 still running; sleeping.
[2026-04-06 00:15:46] Stage-1 still running; sleeping.
[2026-04-06 00:16:47] Stage-1 still running; sleeping.
[2026-04-06 00:17:49] Stage-1 still running; sleeping.
[2026-04-06 00:18:51] Stage-1 still running; sleeping.
[2026-04-06 00:19:51] Stage-1 still running; sleeping.
[2026-04-06 00:20:54] Stage-1 still running; sleeping.
[2026-04-06 00:21:56] Stage-1 still running; sleeping.
[2026-04-06 00:22:57] Stage-1 still running; sleeping.
[2026-04-06 00:23:59] Stage-1 still running; sleeping.
[2026-04-06 00:25:01] Stage-1 still running; sleeping.
[2026-04-06 00:26:02] Stage-1 still running; sleeping.
[2026-04-06 00:27:04] Stage-1 still running; sleeping.
[2026-04-06 00:28:06] Stage-1 still running; sleeping.
[2026-04-06 00:29:07] Stage-1 still running; sleeping.
[2026-04-06 00:30:09] Stage-1 still running; sleeping.
[2026-04-06 00:31:11] Stage-1 still running; sleeping.
[2026-04-06 00:32:13] Stage-1 still running; sleeping.
[2026-04-06 00:33:14] Stage-1 still running; sleeping.
[2026-04-06 00:34:16] Stage-1 still running; sleeping.
[2026-04-06 00:35:18] Stage-1 process exited; inspecting final state.
[2026-04-06 00:35:18] Stage-1 appears complete; proceeding to stage-2 launch.
[2026-04-06 00:35:18] Launching Flowers-102 stage with timestamp 20260406_003518
[2026-04-06 00:35:18] Flowers-102 stage launched; watcher exits.
