status	checkpoint	layer_label	analog_layers	eval_c2c	eval_d2d	n_json	n_d2d_seeds	d2d_seeds	mean_ppl	std_ppl	min_ppl	max_ppl	best_json	worst_json	missing_required_metadata
candidate_index_not_claim_lock	combined_layerall_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	25.9853	0.165127	25.7311	26.1822	eval_combined_layerall_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_layerall_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_layerall_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	59.0549	1.79999	56.3014	60.9145	eval_combined_layerall_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_layerall_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_layerall_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.032	0.133721	26.8048	27.1441	eval_combined_layerall_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_layerall_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d01_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	25.9811	0.219311	25.6621	26.2238	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d01_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	76.7891	3.28833	71.496	80.12	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d01_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.4088	0.228029	27.0778	27.6241	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_sweep_d2d01_c2c01_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c005_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.1193	0.172817	25.8425	26.2941	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c005_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	64.4381	2.34112	60.7346	66.8305	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c005_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.316	0.157151	27.0593	27.4529	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c005_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	25.9853	0.165127	25.7311	26.1822	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	59.0549	1.79999	56.3014	60.9145	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.0017	0.142518	26.7695	27.149	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c01_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c02_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.2578	0.172637	25.9782	26.4307	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c02_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	51.4941	0.982966	49.8089	52.2281	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.0_d2d0.05_seed1001.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d02_c2c02_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.1627	0.153178	26.9073	27.2907	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_sweep_d2d02_c2c02_v2_seed42_c2c0.01_d2d0.02_seed1001.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d03_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.9851	0.215485	26.6469	27.2399	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d03_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	51.1674	1.15363	49.3342	52.4166	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	combined_sweep_d2d03_c2c01_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	27.8973	0.167451	27.6366	28.0567	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_combined_sweep_d2d03_c2c01_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_c2c001_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	5	5	42,123,456,789,1001	26.5731	0.291156	26.1869	26.9901	eval_hat_c2c001_500_v2_seed42_c2c0.0_d2d0.02_seed789.json	eval_hat_c2c001_500_v2_seed42_c2c0.0_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_c2c001_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.05	5	5	42,123,456,789,1001	94.4278	5.03521	85.9186	99.1667	eval_hat_c2c001_500_v2_seed42_c2c0.0_d2d0.05_seed789.json	eval_hat_c2c001_500_v2_seed42_c2c0.0_d2d0.05_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_c2c001_500_v2_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0.01	0.02	5	5	42,123,456,789,1001	28.4498	0.256845	28.0292	28.6973	eval_hat_c2c001_500_v2_seed42_c2c0.01_d2d0.02_seed789.json	eval_hat_c2c001_500_v2_seed42_c2c0.01_d2d0.02_seed456.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
candidate_index_not_claim_lock	hat_combined002_all_seed42	all24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	0	0.02	1	1	NA	1.63311	0	1.63311	1.63311	eval_hat_combined002_all_seed42_c2c0.0_d2d0.02.json	eval_hat_combined002_all_seed42_c2c0.0_d2d0.02.json	checkpoint_sha256,command,commit,config,dataset,eval_protocol
