run_id	source_log	completed	model	analog_scope	train_scope	seed	steps_requested	step_count	max_length	lr	sigma_d2d	sigma_c2c	resample_every	noise_enabled	high_precision_analog	initial_step_loss	final_step_loss	min_step_loss	max_step_loss	mean_step_loss	std_step_loss	step_loss_delta	step_loss_decreased	eval_before_mean	eval_after_mean	eval_delta	eval_decreased	fresh_d2d_mean_loss	fresh_d2d_std_loss	fresh_d2d_instances	fresh_d2d_repeats	peak_cuda_mem_gb	elapsed_s
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		1000	1000								6.6263504	6.6335402	6.3931255	6.7512178	6.5520114	0.05455059	0.0071897507	0									1.7120218	66.564989
w2_llm_scope_attention_output_c2c002_lr5e6_lb200_20260425_221702	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_scope_attention_output_c2c002_lr5e6_lb200_20260425_221702.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		200	200								6.5640926	6.5547218	6.4146323	6.6763515	6.5434106	0.048107677	-0.0093708038	1									1.7120218	15.657133
w2_llm_scope_attention_output_d2d005_lr5e6_lb200_20260425_221702	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_scope_attention_output_d2d005_lr5e6_lb200_20260425_221702.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		200	200								6.8798118	6.8165731	6.7636023	7.1376705	6.9238955	0.10334583	-0.063238621	1									1.7120218	18.389006
w2_llm_scope_attention_output_n020010_r10_lr5e6_lb200_20260425_221843	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_scope_attention_output_n020010_r10_lr5e6_lb200_20260425_221843.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		200	200								6.5048189	6.5088263	6.4416466	6.747931	6.5727485	0.059265147	0.0040073395	0									1.7120218	20.258355
w2_llm_scope_attention_output_noise005002_r10_lr5e6_lb200_20260425_221406	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_scope_attention_output_noise005002_r10_lr5e6_lb200_20260425_221406.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		200	200								6.7395573	6.9337492	6.634665	7.3923345	7.0092577	0.1233045	0.19419193	0									1.7120218	7.7520175
w2_llm_scope_attention_output_nonnoise_lr1e5_lb200_20260425_221532	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_scope_attention_output_nonnoise_lr1e5_lb200_20260425_221532.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block		200	200								6.4879632	6.4744201	6.4744201	6.4879632	6.4811741	0.0039291603	-0.013543129	1									1.7120218	9.0143871
w2_long_attention_output_n005002_lb1000_seed1234_20260426_105917	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_long_attention_output_n005002_lb1000_seed1234_20260426_105917.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block	1234	1000	1000	64	5e-06	0.005	0.002	10	1	1	5.8791833	5.839817	5.8205695	5.9096365	5.8583418	0.016807871	-0.039366245	1	5.8800211	5.8170119	-0.063009167	1					1.7110939	79.891355
w2_long_attention_output_n005002_lb1000_seed456_20260426_110401	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_long_attention_output_n005002_lb1000_seed456_20260426_110401.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block	456	1000	1000	64	5e-06	0.005	0.002	10	1	1	5.8985047	5.8390951	5.8093276	5.9121499	5.859431	0.017305327	-0.059409618	1	5.8885569	5.8524772	-0.036079693	1					1.7110939	79.087972
w2_long_attention_output_n005002_lb1000_seed789_20260426_110831	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_long_attention_output_n005002_lb1000_seed789_20260426_110831.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block	789	1000	1000	64	5e-06	0.005	0.002	10	1	1	5.8677545	5.8481092	5.8082175	5.9134421	5.8619225	0.017670522	-0.019645214	1	5.872822	5.850279	-0.022542953	1					1.7110939	79.594755
w2_trusted_attention_output_n010005_lb300_seed1234_20260425_222725	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_trusted_attention_output_n010005_lb300_seed1234_20260425_222725.log	1	EleutherAI/pythia-410m-deduped	attention_output	last_block	1234	300	300	64	5e-06	0.01	0.005	10	1	1	5.8620172	5.8626204	5.8220134	5.9563818	5.8812463	0.027946668	0.00060319901	0	5.8591196	5.9122386	0.053118992	0					1.7120228	18.900252
