run_id	source_log	step	loss	resampled
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	0	6.6263504	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	1	6.606864	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	2	6.665885	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	3	6.6662521	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	4	6.6273422	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	5	6.5996542	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	6	6.5753064	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	7	6.6121154	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	8	6.6253924	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	9	6.6261282	24
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	10	6.5371203	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	11	6.5353107	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	12	6.5251164	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	13	6.6049943	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	14	6.5424752	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	15	6.5445147	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	16	6.5527248	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	17	6.5445585	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	18	6.5379438	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	19	6.5617204	24
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	20	6.5501041	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	21	6.5747843	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	22	6.5606818	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	23	6.5473447	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	24	6.5239749	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	25	6.5569797	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	26	6.536355	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	27	6.5178432	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	28	6.5291862	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	29	6.5392909	24
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	30	6.5791831	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	31	6.545022	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	32	6.5415373	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	33	6.5031281	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	34	6.5532942	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	35	6.5998778	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	36	6.5924525	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	37	6.5443583	0
w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439	/home/qiaosir/projects/compute_vit/archive/residual_logs_gpt_20260510/logs/_gpt/w2_llm_attention_output_n020010_r10_lr5e6_lb1000_20260425_222439.log	38	6.548748	0
