scope	mode	initial_loss	final_loss	delta_loss	min_loss	max_loss	resample_events	params	qkv_modules	attention_output_modules	mlp_modules	source_log	claim_status	notes
attention_output	d2d_0.05_c2c_0.02	6.739557	6.933749	0.194192	6.634665	7.392334	20	1049600	0	24	0	w2_llm_scope_attention_output_noise005002_r10_lr5e6_lb200_20260425_221406.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	d2d_0.05_c2c_0.02	13.672422	13.488909	-0.183514	11.975566	14.195618	20	8393728	0	0	48	w2_llm_scope_mlp_noise005002_r10_lr5e6_lb200_20260425_221406.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	d2d_0.05_c2c_0.02	11.934568	11.819746	-0.114822	10.837623	13.282988	20	3148800	24	0	0	w2_llm_scope_qkv_noise005002_r10_lr5e6_lb200_20260425_221406.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
attention_output	nonnoise	6.487963	6.474420	-0.013543	6.474420	6.487963	0	1049600	0	24	0	w2_llm_scope_attention_output_nonnoise_lr1e5_lb200_20260425_221532.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	nonnoise	6.487868	6.207764	-0.280105	6.207764	6.487868	0	8393728	0	0	48	w2_llm_scope_mlp_nonnoise_lr1e5_lb200_20260425_221532.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	nonnoise	6.488307	6.283203	-0.205104	6.283203	6.488307	0	3148800	24	0	0	w2_llm_scope_qkv_nonnoise_lr1e5_lb200_20260425_221532.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
attention_output	c2c_0.02	6.564093	6.554722	-0.009371	6.414632	6.676352	0	1049600	0	24	0	w2_llm_scope_attention_output_c2c002_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
attention_output	d2d_0.05	6.879812	6.816573	-0.063239	6.763602	7.137671	20	1049600	0	24	0	w2_llm_scope_attention_output_d2d005_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	c2c_0.02	9.199410	8.240667	-0.958743	8.216597	9.860686	0	8393728	0	0	48	w2_llm_scope_mlp_c2c002_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	d2d_0.05	12.730762	13.123926	0.393164	11.986607	14.221943	20	8393728	0	0	48	w2_llm_scope_mlp_d2d005_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	c2c_0.02	8.951698	9.662649	0.710951	8.692932	10.755762	0	3148800	24	0	0	w2_llm_scope_qkv_c2c002_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	d2d_0.05	11.396098	11.239523	-0.156575	11.239523	12.469999	20	3148800	24	0	0	w2_llm_scope_qkv_d2d005_lr5e6_lb200_20260425_221702.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
attention_output	d2d_0.20_c2c_0.10	6.504819	6.508826	0.004007	6.441647	6.747931	20	1049600	0	24	0	w2_llm_scope_attention_output_n020010_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	d2d_0.10_c2c_0.05	7.172268	7.427999	0.255731	6.910932	7.978089	20	8393728	0	0	48	w2_llm_scope_mlp_n010005_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
mlp	d2d_0.20_c2c_0.10	9.549285	9.512736	-0.036549	8.787468	10.480112	20	8393728	0	0	48	w2_llm_scope_mlp_n020010_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv_attention	d2d_0.10_c2c_0.05	7.525171	7.887245	0.362074	7.302424	8.740385	20	4198400	24	24	0	w2_llm_scope_qkv_attention_n010005_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	d2d_0.10_c2c_0.05	8.241995	7.874895	-0.367100	7.509419	8.663857	20	3148800	24	0	0	w2_llm_scope_qkv_n010005_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
qkv	d2d_0.20_c2c_0.10	9.277117	9.447456	0.170340	8.989443	11.117431	20	3148800	24	0	0	w2_llm_scope_qkv_n020010_r10_lr5e6_lb200_20260425_221843.log	legacy_probe_not_paper_claim	Smoke/probe-scale loss summary; source logs archived/remapped before claim use.
