Arch,HAT,Seed,Source best test (%),Fresh mean (%),Fresh std (%),Fresh-source (pp),JSON path,Command path/log
"deit_small_patch16_224","digital",123,48.22,48.22,0.00,0.00,"report_md/_gpt/json_gpt/deit_small_patch16_224_digital_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_digital_seed123/"
"deit_small_patch16_224","proportional",123,50.24,50.20,0.10,-0.04,"report_md/_gpt/json_gpt/deit_small_patch16_224_proportional_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_proportional_seed123/"
"deit_small_patch16_224","ensemble",123,45.26,40.44,0.43,-4.82,"report_md/_gpt/json_gpt/deit_small_patch16_224_ensemble_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_ensemble_seed123/"
"deit_small_patch16_224","standard",123,40.61,6.39,0.85,-34.23,"report_md/_gpt/json_gpt/deit_small_patch16_224_standard_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_standard_seed123/"
"deit_small_patch16_224","digital",456,53.61,53.61,0.00,0.00,"report_md/_gpt/json_gpt/deit_small_patch16_224_digital_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_digital_seed456/"
"deit_small_patch16_224","proportional",456,54.44,54.19,0.09,-0.25,"report_md/_gpt/json_gpt/deit_small_patch16_224_proportional_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_proportional_seed456/"
"deit_small_patch16_224","ensemble",456,44.52,41.11,0.35,-3.41,"report_md/_gpt/json_gpt/deit_small_patch16_224_ensemble_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_ensemble_seed456/"
"deit_small_patch16_224","standard",456,41.19,6.84,0.83,-34.35,"report_md/_gpt/json_gpt/deit_small_patch16_224_standard_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_standard_seed456/"
"deit_small_patch16_224","digital",789,53.58,53.58,0.00,0.00,"results/json/deit_small_patch16_224_digital_seed789_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_digital_seed789/"
"deit_small_patch16_224","proportional",789,56.54,56.33,0.13,-0.21,"results/json/deit_small_patch16_224_proportional_seed789_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_proportional_seed789/"
"deit_small_patch16_224","ensemble",789,44.73,39.92,0.35,-4.81,"results/json/deit_small_patch16_224_ensemble_seed789_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_ensemble_seed789/train.log"
"deit_small_patch16_224","standard",789,41.28,5.77,0.68,-35.51,"results/json/deit_small_patch16_224_standard_seed789_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/deit_small_patch16_224_standard_seed789/train.log"
"vit_small_patch16_224","digital",123,48.83,48.83,0.00,0.00,"report_md/_gpt/json_gpt/vit_small_patch16_224_digital_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_digital_seed123/"
"vit_small_patch16_224","proportional",123,49.03,49.00,0.09,-0.03,"report_md/_gpt/json_gpt/vit_small_patch16_224_proportional_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_proportional_seed123/"
"vit_small_patch16_224","ensemble",123,43.64,40.24,0.36,-3.40,"report_md/_gpt/json_gpt/vit_small_patch16_224_ensemble_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_ensemble_seed123/"
"vit_small_patch16_224","standard",123,39.22,5.22,0.51,-34.00,"report_md/_gpt/json_gpt/vit_small_patch16_224_standard_seed123_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_standard_seed123/"
"vit_small_patch16_224","digital",456,54.58,54.58,0.00,0.00,"report_md/_gpt/json_gpt/vit_small_patch16_224_digital_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_digital_seed456/"
"vit_small_patch16_224","proportional",456,54.06,53.90,0.13,-0.16,"report_md/_gpt/json_gpt/vit_small_patch16_224_proportional_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_proportional_seed456/"
"vit_small_patch16_224","ensemble",456,44.79,40.08,0.36,-4.71,"report_md/_gpt/json_gpt/vit_small_patch16_224_ensemble_seed456_best_fresh_eval.json","checkpoints/_gpt/cross_arch_tinyimagenet/vit_small_patch16_224_ensemble_seed456/"
