dataset	model_type	experiment	experiment_name	checkpoint	module_path	layer_index	seed_index	seed	baseline_accuracy_mean	accuracy	accuracy_drop	loss	elapsed_seconds	batch_size	test_size	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	conv1	1	1	20270515	69.92	65.52	4.4	1.508925	0.967	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	conv1	1	2	20270516	69.92	66.41	3.51	1.477391	0.977	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	conv1	1	3	20270517	69.92	62.61	7.31	1.66143	1.004	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv1	2	1	20280515	69.92	59.25	10.67	1.854507	1.005	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv1	2	2	20280516	69.92	64.39	5.53	1.599602	0.984	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv1	2	3	20280517	69.92	62.73	7.19	1.685757	0.959	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv2	3	1	20290515	69.92	65.97	3.95	1.50633	0.964	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv2	3	2	20290516	69.92	66.39	3.53	1.472908	0.966	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.0.conv2	3	3	20290517	69.92	65.42	4.5	1.506783	0.963	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	layer1.1.conv1	4	1	20300515	69.92	64.91	5.01	1.581276	0.968	128	10000	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
