module_path	layer_index	rank	baseline_accuracy_mean	accuracy_mean	accuracy_std	accuracy_drop_mean	loss_mean	elapsed_seconds_mean	seed_count	dataset	model_type	experiment	experiment_name	checkpoint	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
layer2.0.conv2	7	1	69.92	61.9167	1.3874	8.0033	1.723976	1.022	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer1.0.conv1	2	2	69.92	62.1233	2.6232	7.7967	1.713289	0.983	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer3.0.conv1	11	3	69.92	64.0833	0.7167	5.8367	1.62689	0.979	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer4.1.conv1	19	4	69.92	64.34	0.4927	5.58	1.497394	0.994	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
conv1	1	5	69.92	64.8467	1.9875	5.0733	1.549248	0.982	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer1.1.conv2	5	6	69.92	64.94	1.9292	4.98	1.560647	0.964	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer1.0.conv2	3	7	69.92	65.9267	0.4864	3.9933	1.49534	0.964	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer3.0.conv2	12	8	69.92	66.14	0.5268	3.78	1.49785	0.967	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer4.0.conv2	17	9	69.92	66.4	0.2128	3.52	1.417553	0.965	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer2.0.conv1	6	10	69.92	66.58	0.8688	3.34	1.478099	0.966	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer1.1.conv1	4	11	69.92	66.6033	1.4681	3.3167	1.478905	0.996	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer2.0.downsample.0	8	12	69.92	67.3967	0.811	2.5233	1.437543	0.99	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
layer4.0.conv1	16	13	69.92	67.4267	0.1193	2.4933	1.372491	0.953	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
fc	21	14	69.92	67.4767	0.1343	2.4433	1.319453	0.977	3	cifar100	resnet	R4	R4_4bit_noise_HAT	/home/qiaosir/projects/compute_vit/checkpoints/resnet18_cifar100/R4_4bit_noise_HAT_best.pt	0.05	0.1	uniform	scripts/eval_resnet_layer_sensitivity.py	resnet-layer-d2d-ranking-fulltest-seeds3
