dataset	experiment	checkpoint	strategy	protected_k	retention_time_s	retention_recalibrate_scale	retention_scales_d2d	instance_index	instance_seed	mc_index	mc_seed	accuracy	loss	elapsed_seconds	sigma_c2c	sigma_d2d	noise_mode	script	evidence_grade
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260514	1	20260515	59.2	2.525026	6.663	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	0.0	True	True	1	20260514	2	20260516	58.88	2.541386	6.039	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260514	1	20261515	55.96	2.708076	6.121	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	1000.0	True	True	1	20260514	2	20261516	56.19	2.676233	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260514	1	20270515	56.0	2.69635	6.129	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	fresh_all_analog	0	10000.0	True	True	1	20260514	2	20270516	55.87	2.678366	6.136	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260514	1	20260515	63.05	2.235042	6.052	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	0.0	True	True	1	20260514	2	20260516	63.29	2.22375	6.065	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	1	20260514	1	20261515	60.42	2.414494	6.13	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	1000.0	True	True	1	20260514	2	20261516	60.52	2.394953	6.134	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	1	20260514	1	20270515	60.76	2.388775	6.132	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top30_d2d	30	10000.0	True	True	1	20260514	2	20270516	60.66	2.360032	6.146	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
cifar100	V4	checkpoints/_ensemble/cifar100_seed789/V4_hybrid_standard_noise_hat_best.pt	freeze_top42_d2d	42	0.0	True	True	1	20260514	1	20260515	64.92	2.100174	6.065	0.05	0.1	uniform	scripts/eval_retention_protection_sweep.py	retention-protection-pilot-n5-mc2
