rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
1	41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	477.358582	3.600000	0.988262	1000.0	0.06510416666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
2	40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	462.707550	3.600000	0.987433	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
3	37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	381.164062	3.600000	0.982153	1000.0	83.59375	1.2807497117777344	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
4	34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	AnalogLinear	369.425171	3.600000	0.985997	1000.0	0.06510416666666667	0.9230108645024626	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
5	38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	AnalogLinear	366.311523	3.600000	0.986063	1000.0	-0.06510416666666667	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
6	29	stages.2.blocks.4.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	272.872528	3.600000	0.990908	1000.0	0.5859375	1.014873520059889	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
7	28	stages.2.blocks.4.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	267.562531	3.600000	0.990575	1000.0	7.942708333333333	1.3294647042097745	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
8	25	stages.2.blocks.3.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	264.989716	3.600000	0.990368	1000.0	0.1953125	0.7042092334890604	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
9	12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	260.307312	3.600000	0.990083	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
10	17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	251.025955	3.600000	0.989289	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
11	21	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	250.756592	3.600000	0.989271	1000.0	3.125	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
12	39	stages.3.blocks.1.attn.proj	attention_proj	stage_3	AnalogLinear	250.255341	3.600000	0.989316	1000.0	0.13020833333333334	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
13	32	stages.2.blocks.5.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	248.359863	3.600000	0.989160	1000.0	0.0	0.1953125	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
14	16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	245.668823	3.600000	0.988923	1000.0	0.2604166666666667	0.40657539052072905	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
15	33	stages.2.blocks.5.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	244.744080	3.600000	0.988767	1000.0	9.114583333333334	5.041686170976392	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
16	24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	244.018250	3.600000	0.988645	1000.0	0.8463541666666666	0.29834477180702085	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
17	20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	237.187881	3.600000	0.988050	1000.0	1.1067708333333333	0.8807128423482216	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
18	18	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	226.289032	3.600000	0.990462	1000.0	0.13020833333333334	1.2404009689620867	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
