rank	layer_id	module_path	role	stage	layer_type	drift_effective_l2	drift_effective_linf	drift_abs_to_weight_abs_corr	retention_time_s	reference_mean_acc_drop	reference_std_acc_drop	source	evidence_grade
1	40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	487.795776	3.600000	0.988642	1000.0	0.0	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
2	37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	473.017517	3.600000	0.987963	1000.0	83.59375	1.2807497117777344	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
3	41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	470.990448	3.600000	0.987914	1000.0	0.06510416666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
4	36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	466.235565	3.600000	0.987568	1000.0	2.34375	0.5167483029423029	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
5	34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	AnalogLinear	424.492493	3.600000	0.989209	1000.0	0.06510416666666667	0.9230108645024626	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
6	38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	AnalogLinear	401.997406	3.600000	0.987767	1000.0	-0.06510416666666667	0.4915256793796061	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
7	35	stages.3.blocks.0.attn.proj	attention_proj	stage_3	AnalogLinear	263.849182	3.600000	0.990405	1000.0	0.390625	0.390625	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
8	25	stages.2.blocks.3.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	261.221344	3.600000	0.990235	1000.0	0.1953125	0.7042092334890604	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
9	29	stages.2.blocks.4.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	261.169617	3.600000	0.990206	1000.0	0.5859375	1.014873520059889	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
10	17	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	247.201981	3.600000	0.989263	1000.0	1.0416666666666667	0.11276372445109878	drift_vectors_profile + layer_sensitivity_full42_summary	pilot/provisional
