layer_id	module_path	layer_type	role	stage	shape	effective_m	effective_n	row_tiles_128	col_tiles_128	diff_pair_arrays_128	parameter_count	current_mapping	candidate_precision	n_states	sigma_d2d	sigma_c2c	notes
0	patch_embed.conv1.conv	AnalogConv2d	patch_embed_conv	patch_embed	32x3x3x3	32	27	1	1	2	864	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
1	patch_embed.conv2.conv	AnalogConv2d	patch_embed_conv	patch_embed	64x32x3x3	64	288	1	3	6	18432	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
2	stages.1.blocks.0.attn.qkv	AnalogLinear	attention_qkv	stage_1	384x128	384	128	3	1	6	49536	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
3	stages.1.blocks.0.attn.proj	AnalogLinear	attention_proj	stage_1	128x128	128	128	1	1	2	16512	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
4	stages.1.blocks.0.mlp.fc1	AnalogLinear	mlp_fc1	stage_1	512x128	512	128	4	1	8	66048	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
5	stages.1.blocks.0.mlp.fc2	AnalogLinear	mlp_fc2	stage_1	128x512	128	512	1	4	8	65664	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
6	stages.1.blocks.1.attn.qkv	AnalogLinear	attention_qkv	stage_1	384x128	384	128	3	1	6	49536	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
7	stages.1.blocks.1.attn.proj	AnalogLinear	attention_proj	stage_1	128x128	128	128	1	1	2	16512	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
8	stages.1.blocks.1.mlp.fc1	AnalogLinear	mlp_fc1	stage_1	512x128	512	128	4	1	8	66048	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
9	stages.1.blocks.1.mlp.fc2	AnalogLinear	mlp_fc2	stage_1	128x512	128	512	1	4	8	65664	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
10	stages.2.blocks.0.attn.qkv	AnalogLinear	attention_qkv	stage_2	480x160	480	160	4	2	16	77280	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
11	stages.2.blocks.0.attn.proj	AnalogLinear	attention_proj	stage_2	160x160	160	160	2	2	8	25760	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
12	stages.2.blocks.0.mlp.fc1	AnalogLinear	mlp_fc1	stage_2	640x160	640	160	5	2	20	103040	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
13	stages.2.blocks.0.mlp.fc2	AnalogLinear	mlp_fc2	stage_2	160x640	160	640	2	5	20	102560	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
14	stages.2.blocks.1.attn.qkv	AnalogLinear	attention_qkv	stage_2	480x160	480	160	4	2	16	77280	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
15	stages.2.blocks.1.attn.proj	AnalogLinear	attention_proj	stage_2	160x160	160	160	2	2	8	25760	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
16	stages.2.blocks.1.mlp.fc1	AnalogLinear	mlp_fc1	stage_2	640x160	640	160	5	2	20	103040	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
17	stages.2.blocks.1.mlp.fc2	AnalogLinear	mlp_fc2	stage_2	160x640	160	640	2	5	20	102560	analog_4bit_pcm_candidate	rank_pending_probe_required	16	0.1	0.05	V4 hybrid model instantiated without checkpoint load; inventory only
