layer_id	module_path	role	stage	perturbation_type	sigma_d2d	sigma_c2c	seed	metric_baseline	metric_perturbed	delta	baseline_loss	perturbed_loss	loss_delta	rank	static_rank	subset_size	dataset	checkpoint_path	evidence_grade
36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	91.9921875	1.7578125	0.33898304402828217	0.3915551155805588	0.05257207155227661	2	1	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	90.0390625	2.734375	0.36475880444049835	0.46128931641578674	0.09653051197528839	2	1	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	88.671875	2.5390625	0.47226928174495697	0.5792000442743301	0.10693076252937317	2	1	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	93.1640625	0.5859375	0.33898304402828217	0.3407955765724182	0.0018125325441360474	9	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	92.96875	-0.1953125	0.36475880444049835	0.3656117171049118	0.0008529126644134521	9	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	91.6015625	-0.390625	0.47226928174495697	0.47777335345745087	0.0055040717124938965	9	2	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	8.984375	84.765625	0.33898304402828217	7.925520181655884	7.586537137627602	1	3	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	8.984375	83.7890625	0.36475880444049835	9.104191303253174	8.739432498812675	1	3	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	8.984375	82.2265625	0.47226928174495697	8.286928653717041	7.814659371972084	1	3	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	93.5546875	0.1953125	0.33898304402828217	0.31397897005081177	-0.025004073977470398	8	4	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	92.7734375	0.0	0.36475880444049835	0.34325604140758514	-0.021502763032913208	8	4	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	91.2109375	0.0	0.47226928174495697	0.42780306935310364	-0.04446621239185333	8	4	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	93.359375	0.390625	0.33898304402828217	0.31771044433116913	-0.021272599697113037	7	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	91.9921875	0.78125	0.36475880444049835	0.37141191959381104	0.006653115153312683	7	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	92.1875	-0.9765625	0.47226928174495697	0.4501280337572098	-0.022141247987747192	7	5	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	93.359375	0.390625	0.33898304402828217	0.3414457142353058	0.0024626702070236206	10	6	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	92.7734375	0.0	0.36475880444049835	0.36086326837539673	-0.0038955360651016235	10	6	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	91.796875	-0.5859375	0.47226928174495697	0.46633201837539673	-0.005937263369560242	10	6	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.3523533195257187	0.013370275497436523	4	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	91.796875	0.9765625	0.36475880444049835	0.4183107167482376	0.05355191230773926	4	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	90.234375	0.9765625	0.47226928174495697	0.5082873851060867	0.03601810336112976	4	7	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	93.9453125	-0.1953125	0.33898304402828217	0.34982046484947205	0.01083742082118988	6	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	92.1875	0.5859375	0.36475880444049835	0.4266326576471329	0.06187385320663452	6	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	90.8203125	0.390625	0.47226928174495697	0.5213048160076141	0.049035534262657166	6	8	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	91.796875	1.953125	0.33898304402828217	0.4561590105295181	0.11717596650123596	3	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260511	92.7734375	92.578125	0.1953125	0.36475880444049835	0.3769105523824692	0.012151747941970825	3	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260512	91.2109375	90.0390625	1.171875	0.47226928174495697	0.5012964755296707	0.029027193784713745	3	9	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	single_layer_d2d_resample_checkpoint_baseline	0.1	0.05	20260510	93.75	92.578125	1.171875	0.33898304402828217	0.34007182717323303	0.0010887831449508667	5	10	512	cifar10	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
