rank	layer_id	module_path	role	stage	mean_acc_drop	std_acc_drop	mean_loss_delta	std_loss_delta	n_seeds	static_rank	subset_size	dataset	evidence_grade
1	37	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	83.59375	1.2807497117777344	8.046876336137453	0.610520652636052	3	3	512	cifar10	pilot/provisional
2	36	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	2.34375	0.5167483029423029	0.08534444868564606	0.028854164866198823	3	1	512	cifar10	pilot/provisional
3	20	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	1.1067708333333333	0.8807128423482216	0.052784969409306846	0.05639898534519442	3	9	512	cifar10	pilot/provisional
4	12	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	1.0416666666666667	0.11276372445109878	0.034313430388768516	0.020144984900609706	3	7	512	cifar10	pilot/provisional
5	24	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	0.8463541666666666	0.29834477180702085	0.022558396061261494	0.022317665599190923	3	10	512	cifar10	pilot/provisional
6	16	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	0.2604166666666667	0.40657539052072905	0.04058226943016052	0.02654755398157727	3	8	512	cifar10	pilot/provisional
7	34	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	0.06510416666666667	0.9230108645024626	-0.012253577510515848	0.01637943552374611	3	5	512	cifar10	pilot/provisional
8	41	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	0.06510416666666667	0.11276372445109878	-0.030324349800745647	0.012371701691438702	3	4	512	cifar10	pilot/provisional
9	40	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	0.0	0.5167483029423029	0.0027231723070144653	0.002455660543710509	3	2	512	cifar10	pilot/provisional
10	38	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	-0.06510416666666667	0.4915256793796061	-0.0024567097425460815	0.004380911653139591	3	6	512	cifar10	pilot/provisional
