static_rank	static_priority_score	module_path	role	stage	layer_type	shape	effective_m	effective_n	diff_pair_arrays_128	parameter_count	candidate_precision	static_rank_basis
1	83367.014	stages.3.blocks.0.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	1280x320	1280	320	60	410880	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
2	83367.014	stages.3.blocks.1.mlp.fc1	mlp_fc1	stage_3	AnalogLinear	1280x320	1280	320	60	410880	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
3	83365.690	stages.3.blocks.0.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	320x1280	320	1280	60	409920	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
4	83365.690	stages.3.blocks.1.mlp.fc2	mlp_fc2	stage_3	AnalogLinear	320x1280	320	1280	60	409920	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
5	63766.771	stages.3.blocks.0.attn.qkv	attention_qkv	stage_3	AnalogLinear	960x320	960	320	48	308160	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
6	63766.771	stages.3.blocks.1.attn.qkv	attention_qkv	stage_3	AnalogLinear	960x320	960	320	48	308160	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
7	24274.421	stages.2.blocks.0.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
8	24274.421	stages.2.blocks.1.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
9	24274.421	stages.2.blocks.2.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
10	24274.421	stages.2.blocks.3.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
11	24274.421	stages.2.blocks.4.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
12	24274.421	stages.2.blocks.5.mlp.fc1	mlp_fc1	stage_2	AnalogLinear	640x160	640	160	20	103040	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
13	24273.841	stages.2.blocks.0.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
14	24273.841	stages.2.blocks.1.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
15	24273.841	stages.2.blocks.2.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
16	24273.841	stages.2.blocks.3.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
17	24273.841	stages.2.blocks.4.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
18	24273.841	stages.2.blocks.5.mlp.fc2	mlp_fc2	stage_2	AnalogLinear	160x640	160	640	20	102560	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
19	21723.264	stages.3.blocks.0.attn.proj	attention_proj	stage_3	AnalogLinear	320x320	320	320	18	102720	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
20	21723.264	stages.3.blocks.1.attn.proj	attention_proj	stage_3	AnalogLinear	320x320	320	320	18	102720	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
21	18569.258	stages.2.blocks.0.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
22	18569.258	stages.2.blocks.1.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
23	18569.258	stages.2.blocks.2.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
24	18569.258	stages.2.blocks.3.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
25	18569.258	stages.2.blocks.4.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
26	18569.258	stages.2.blocks.5.attn.qkv	attention_qkv	stage_2	AnalogLinear	480x160	480	160	16	77280	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
27	8812.157	stages.1.blocks.0.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	512x128	512	128	8	66048	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
28	8812.157	stages.1.blocks.1.mlp.fc1	mlp_fc1	stage_1	AnalogLinear	512x128	512	128	8	66048	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
29	8811.738	stages.1.blocks.0.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	128x512	128	512	8	65664	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
30	8811.738	stages.1.blocks.1.mlp.fc2	mlp_fc2	stage_1	AnalogLinear	128x512	128	512	8	65664	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
31	8427.048	stages.2.blocks.0.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
32	8427.048	stages.2.blocks.1.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
33	8427.048	stages.2.blocks.2.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
34	8427.048	stages.2.blocks.3.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
35	8427.048	stages.2.blocks.4.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
36	8427.048	stages.2.blocks.5.attn.proj	attention_proj	stage_2	AnalogLinear	160x160	160	160	8	25760	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
37	6321.765	stages.1.blocks.0.attn.qkv	attention_qkv	stage_1	AnalogLinear	384x128	384	128	6	49536	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
38	6321.765	stages.1.blocks.1.attn.qkv	attention_qkv	stage_1	AnalogLinear	384x128	384	128	6	49536	rank_pending_probe_required	arrays_128_plus_param_count_role_stage_weight; not accuracy sensitivity
