strategy	kind	protected_k	seed	loss	accuracy	subset_size	dataset	sigma_d2d	sigma_c2c	unprotected_n_states	protected_n_states	protected_layers	checkpoint_path	evidence_grade
source_checkpoint_d2d	source	0	20260510	0.36924489587545395	92.919921875	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
source_checkpoint_d2d	source	0	20260511	0.4011768586933613	92.822265625	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
source_checkpoint_d2d	source	0	20260512	0.41795627772808075	91.9921875	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
fresh_all_analog	fresh	0	20260510	6.109951317310333	8.88671875	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
fresh_all_analog	fresh	0	20260511	6.40453428030014	8.88671875	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
fresh_all_analog	fresh	0	20260512	6.300448000431061	8.88671875	2048	cifar10	0.1	0.05	16			/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top1_d2d	freeze	1	20260510	6.132811784744263	8.88671875	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top1_d2d	freeze	1	20260511	5.528555810451508	10.009765625	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top1_d2d	freeze	1	20260512	5.2735066413879395	8.984375	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top2_d2d	freeze	2	20260510	5.169477581977844	11.03515625	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top2_d2d	freeze	2	20260511	5.197955012321472	9.375	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
freeze_top2_d2d	freeze	2	20260512	6.223518192768097	8.88671875	2048	cifar10	0.1	0.05	16		stages.3.blocks.0.mlp.fc2;stages.1.blocks.1.mlp.fc2	/home/qiaosir/projects/compute_vit/checkpoints/V4_hybrid_standard_noise_hat_best.pt	pilot/provisional
