file,device,measurement,type,C1_n,C1_peak_nA,C1_mean_nA,C1_baseline_nA,C1_amp_nA,C1_t_peak_s,C1_half_width_s,C2_n,C2_mean_nA,C2_std_nA,C3_n,C3_valid,C3_mean_nA,C3_std_nA,C1_baseline_nA_codex,C1_peak_nA_codex,C1_amp_nA_codex,C1_t_peak_s_codex,C1_rise_10_90_s,C1_tau_1e_decay_s,C1_decay_1e_resolved,C1_half_width_s_codex,C1_charge_nC
1-4-EPSC-365 nm-200 300 ms-64ci-1.csv,9,1,repeat,2000,-36.8512,-24.19453185,-1.6022000000000003,-35.248999999999995,38.353025,38.885215,2000,-27.1598092,1.657587817538421,744,True,-23.935433467741937,0.3826492191218394,-1.6022000000000003,-36.8512,35.248999999999995,38.353025,24.02019244641668,,False,,1179.2404274208
1-4-EPSC-365 nm-200 300 ms-64ci-2.csv,9,2,repeat,2000,-22.395,-14.274829,-0.045379,-22.349621,37.574834,36.738556,2000,-16.04400905,0.8794448167315193,756,True,-14.358328174603177,0.1962723263206316,-0.045379,-22.395,22.349621,37.574834,22.4872288113409,,False,,702.851041365777
1-4-EPSC-365 nm-200 300 ms-64ci-3.csv,9,3,repeat,2000,-17.3899,-11.62024895,-0.022361,-17.367539,35.007323,38.495795,2000,-11.79914985,0.967038247297306,576,True,-9.931735590277778,0.1896541878188198,-0.022361000000000006,-17.3899,17.367539,35.007323,23.006446731576233,,False,,569.548479547979
1-4-EPSC-365 nm-200 300 ms-64ci-4.csv,9,4,repeat,2000,-21.047,-13.60828385,-0.045077,-21.001923,37.33723,36.904549,2000,-14.98126855,1.0536361849856208,542,True,-13.004238376383764,0.1869456941803958,-0.045077,-21.047,21.001923,37.33723,21.97712023871116,,False,,669.3319770416331
1-4-EPSC-365 nm-200 300 ms-64ci-5.csv,9,5,repeat,2000,-23.7148,-15.313393,-0.0714239999999999,-23.643376,37.825724,36.907477,2000,-17.0035715,1.110109656602712,645,True,-14.9147703875969,0.2373909402571082,-0.07142399999999999,-23.7148,23.643376,37.825724,23.501533816780523,,False,,750.549921138504
1-4-EPSC-365 nm-200 300 ms-64ci-6.csv,9,6,repeat,2000,-25.7838,-16.83317825,-0.5526230000000001,-25.231177,38.870151,36.353224,2000,-18.94640535,1.211246328584996,817,True,-16.563567074663403,0.2967444363344931,-0.5526230000000001,-25.7838,25.231177,38.870151,23.045191113761117,,False,,800.562699033685
1-4-EPSC-365 nm-200 300 ms-64ci-7.csv,9,7,repeat,2000,-26.9238,-18.6210576,-0.074697,-26.849103,35.80702,38.885677,2000,-19.6089387,1.193695843066896,618,True,-17.385355987055018,0.2303699360325263,-0.074697,-26.9238,26.849103,35.80702,21.97965488460643,,False,,910.7876069828911
1-4-EPSC-365 nm-200 300 ms-64ci-8.csv,9,8,repeat,2000,-28.6941,-19.5184765,-0.0755569999999999,-28.618543000000003,35.588719999999995,38.619509,2000,-20.670983550000003,1.2512292226999282,997,True,-18.138831293881644,0.3701784604402672,-0.07555699999999999,-28.694100000000002,28.618543000000003,35.588719999999995,23.512982553736368,,False,,958.0433497846091
1-4-EPSC-365 nm-200 300 ms-64ci-9.csv,9,9,repeat,2000,-28.9403,-19.08570675,-0.057325,-28.882975,35.823431,37.705674,2000,-20.72372725,1.3237743704288658,572,True,-18.32833531468531,0.2275605227961945,-0.057325,-28.9403,28.882975000000002,35.823431,23.017377261351925,,False,,940.3194653705249
1-4-EPSC-365 nm-200 300 ms-64ci-10.csv,9,10,repeat,2000,-30.155,-19.77095605,-0.062299,-30.092701,35.873715,37.40284200000001,2000,-21.4977713,1.378490084568234,544,True,-19.026491911764705,0.228890179962494,-0.06229900000000001,-30.155,30.092701,35.873715,23.004383561745783,,False,,967.8990412508361
